tweet_id,retweet_count,favorite_count
866334964761202691,14321,51898
866094527597207552,8306,0
865718153858494464,5586,25361
865359393868664832,4976,26175
865006731092295680,7648,27716
864873206498414592,8673,31958
864279568663928832,3011,14477
864197398364647424,8892,29843
863907417377173506,4123,20442
863553081350529029,4168,15176
863471782782697472,2436,0
863432100342583297,5224,23614
863427515083354112,96,2234
863079547188785154,1100,8712
863062471531167744,2436,8449
862831371563274240,5101,19025
862722525377298433,3524,16946
862457590147678208,4959,20377
862096992088072192,23272,73998
861383897657036800,10716,35925
861288531465048066,4164,17096
861005113778896900,3804,16623
860981674716409858,2167,0
860924035999428608,819,0
860563773140209665,2167,7476
860524505164394496,5304,23530
860276583193509888,3491,18254
860184849394610176,5885,16633
860177593139703809,31045,0
859924526012018688,4102,19500
859851578198683649,3532,15377
859607811541651456,1581,18560
859196978902773760,30409,89788
859074603037188101,13724,33833
858860390427611136,8209,0
858843525470990336,3515,15544
858471635011153920,4880,21515
858107933456039936,2924,15732
857989990357356544,2611,16151
857746408056729600,10764,34312
857393404942143489,1662,5912
857263160327368704,4568,20069
857214891891077121,18,228
857062103051644929,173,0
857029823797047296,4063,18978
856602993587888130,10850,0
856543823941562368,2927,16328
856526610513747968,1915,11887
856330835276025856,688,0
856288084350160898,17,522
856282028240666624,6438,27860
855862651834028034,26,347
855860136149123072,1044,5049
855857698524602368,2150,11931
855851453814013952,18083,45797
855818117272018944,5548,26791
855459453768019968,8376,30117
855245323840757760,6105,0
855138241867124737,46,0
854732716440526848,6246,23040
854482394044301312,7038,29587
854365224396361728,4798,19085
854120357044912130,7670,32334
854010172552949760,3228,16386
853760880890318849,5936,28942
853639147608842240,10418,35256
853299958564483072,3667,15743
852936405516943360,2068,0
852912242202992640,1889,9193
852672615818899456,2222,15156
852553447878664193,3619,16596
852311364735569921,10199,33649
852226086759018497,7008,20336
852189679701164033,1635,11650
851953902622658560,9952,0
851861385021730816,23,0
851591660324737024,3583,16520
851464819735769094,7328,24730
851224888060895234,5927,21083
850753642995093505,9604,31568
850380195714523136,2715,13341
850333567704068097,348,3513
850145622816686080,3962,16667
850019790995546112,5075,20887
849776966551130114,7891,31148
849668094696017920,5138,0
849412302885593088,3263,16241
849336543269576704,1962,11679
849051919805034497,8847,43422
848690551926992896,4490,25816
848324959059550208,4780,25363
848213670039564288,776,8378
848212111729840128,3194,16724
847978865427394560,3394,0
847971574464610304,443,0
847962785489326080,5308,24105
847842811428974592,1390,5606
847617282490613760,441,7181
847606175596138505,3548,19271
847251039262605312,4475,21003
847157206088847362,6109,20468
847116187444137987,3333,21990
846874817362120707,4098,20618
846514051647705089,12122,45860
846505985330044928,3215,14502
846153765933735936,9490,32589
846139713627017216,10363,31793
846042936437604353,3027,16459
